listing_id,title,url,createdAt,neighbourhood,make,model,year,age,kilometers,mileage_per_year,bodyType,noOfCylinders,horsepower,transmissionType,fuelType,regionalSpecs,exteriorColor,sellerType,city,price,log_price,scraped_at,photo_urls
16796674,"820-Monthly l GCC l 4WD , Cruise, Camera l Accident Free",https://abudhabi.dubizzle.com/motors/used-cars/mitsubishi/outlander/2026/4/8/890-monthly-l-gcc-l-4wd-cruise-camera-l-ac-3-884---9ec4d8801078487880982b39b54cdccf/,,Mussafah Industrial Area,mitsubishi,outlander,2022,4,75000,18750.0,SUV,4.0,,Automatic,Petrol,GCC,,Dealer,Abu Dhabi,54999,10.915070282231135,,
16901176,Infiniti QX80 Black Edition 2024 GCC Specs,https://abudhabi.dubizzle.com/motors/used-cars/infiniti/qx80/2026/7/7/infiniti-qx80-black-edition-2024-gcc-specs-3-102---49c24dfeade34ca0ae4b1053ddcb5564/,,Al Safarat,infiniti,qx80,2024,2,45000,22500.0,SUV,8.0,,Automatic,Petrol,GCC,,Dealer,Abu Dhabi,168900,12.037062102795892,,
16902725,Ford Raptor performance,https://abudhabi.dubizzle.com/motors/used-cars/ford/f-150/2026/7/8/ford-raptor-performance-3-699---d421946c3f694ea692a09e4fe0118686/,,ICAD V,ford,f-150,2018,8,116000,14500.0,Pick Up Truck,8.0,,Automatic,Petrol,GCC,,Dealer,Abu Dhabi,113000,11.635143097694478,,
16905608,Mercedes-Benz GLS 400 d 4MATIC Grand Edition 2019 - GCC Specs,https://abudhabi.dubizzle.com/motors/used-cars/mercedes-benz/gls-class/2026/7/11/mercedes-benz-gls-400-d-4matic-grand-editi-3-428---6f9047aac8c54c97aa58f4222bcaea62/,,Corniche Road,mercedes-benz,gls-class,2019,7,140000,20000.0,SUV,6.0,,Automatic,Petrol,GCC,,Owner,Abu Dhabi,87000,11.37366339763672,,
16838117,2022 Mercedes-Benz S-Class S 500 | Japanese Specs | Pristine Condition,https://abudhabi.dubizzle.com/motors/used-cars/mercedes-benz/s-class/2026/5/13/2022-mercedes-benz-s-class-s-500-japanese--3-296---e124d07be0e84303bd4002ed2b85d6ec/,,ICAD V,mercedes-benz,s-class,2022,4,130000,32500.0,Sedan,6.0,,Automatic,Petrol,Japanese,,Dealer,Abu Dhabi,263000,12.479909311159902,,
16891911,2018 Volkswagen Teramont SEL,https://abudhabi.dubizzle.com/motors/used-cars/volkswagen/teramont/2026/6/30/2018-volkswagen-teramont-sel-3-674---4898bdec50d543fc813bc695d69c087f/,,Sas Al Nakhl Village,volkswagen,teramont,2018,8,131000,16375.0,SUV,6.0,,Automatic,Petrol,GCC,,Owner,Abu Dhabi,43000,10.668955394675699,,
16866247,Rox 01 VIP 2026 | Brand New Luxury SUV | Electric Drive with Range Extender,https://abudhabi.dubizzle.com/motors/used-cars/rox/01/2026/6/9/rox-01-vip-2026-brand-new-luxury-suv-elect-3-921---a3aaadbb3bf0477190387ae5b4d9067d/,,ICAD V,rox,01,2026,0,0,0.0,SUV,4.0,,Automatic,Hybrid,Other,,Dealer,Abu Dhabi,220000,12.301382825334498,,
16869277,Nissan Patrol LE T1 2026 GCC Specs,https://abudhabi.dubizzle.com/motors/used-cars/nissan/patrol/2026/6/11/nissan-patrol-le-t1-2026-gcc-specs-3-619---2d48b809835d4db8b3a119ee9a100a24/,,ICAD V,nissan,patrol,2026,0,0,0.0,SUV,6.0,,Automatic,Petrol,GCC,,Dealer,Abu Dhabi,257000,12.456831363877356,,
16908628,Nissan Patrol SE Platinum City 2019 | GCC Specs | Excellent Condition,https://abudhabi.dubizzle.com/motors/used-cars/nissan/patrol/2026/7/14/nissan-patrol-se-platinum-city-2019-gcc-sp-3-603---0c8e67085ace4938b51bc97d0410ec4a/,,Al Khalidiyah,nissan,patrol,2019,7,184000,26285.71,SUV,6.0,,Automatic,Petrol,GCC,,Owner,Abu Dhabi,89000,11.396391648714276,,
16901194,Toyota Land Cruiser GXR 2015 GCC Specs - Excellent Condition,https://abudhabi.dubizzle.com/motors/used-cars/toyota/land-cruiser/2026/7/7/toyota-land-cruiser-gxr-2015-gcc-specs-exc-3-599---f532cbc50c8d4f46b01efd6dbc1a0215/,,Al Qurm,toyota,land cruiser,2015,11,224000,20363.64,SUV,8.0,,Automatic,Petrol,GCC,,Owner,Abu Dhabi,109000,11.59910316121128,,
